No.,Compound Name,DILI Label,SMILES
DILI-0001,mercaptopurine,1,C1=NC2=C(N1)C(=S)N=CN2
DILI-0002,acetaminophen,1,CC(=O)NC1=CC=C(C=C1)O
DILI-0003,azathioprine,1,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]
DILI-0004,clofibrate,1,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl
DILI-0005,cyclophosphamide,1,C1CNP(=O)(OC1)N(CCCl)CCCl
DILI-0006,estradiol,1,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O
DILI-0007,fluoxetine,1,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
DILI-0008,gemfibrozil,1,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O
DILI-0009,indomethacin,1,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O
DILI-0010,ketoprofen,1,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O
DILI-0011,methotrexate,1,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
DILI-0012,phenobarbital,1,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2
DILI-0013,phenytoin,1,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
DILI-0014,rifampin,1,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C)/C
DILI-0015,tetracycline,1,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
DILI-0016,abacavir,1,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)[C@@H]4C[C@@H](C=C4)CO
DILI-0017,aciclovir,1,C1=NC2=C(N1COCCO)N=C(NC2=O)N
DILI-0018,allopurinol,1,C1=NNC2=C1C(=O)NC=N2
DILI-0019,amineptine,1,C1CC2=CC=CC=C2C(C3=CC=CC=C31)NCCCCCCC(=O)O
